Listing the mapping from points of 1964 dataset to those of 1968 dataset
Matched (966, 175) to point (966, 175) with cost = 1.41421
Matched (933, 280) to point (932, 281) with cost = 0
Matched (932, 280) to point (932, 280) with cost = 1
Matched (932, 280) to point (931, 280) with cost = 1.41421
Matched (932, 279) to point (931, 280) with cost = 0
Matched (931, 279) to point (931, 279) with cost = 0
Matched (931, 278) to point (931, 278) with cost = 1
Matched (931, 278) to point (930, 278) with cost = 1.41421
Matched (931, 277) to point (930, 278) with cost = 0
Matched (930, 277) to point (930, 277) with cost = 0
Matched (930, 277) to point (930, 277) with cost = 1
Matched (930, 276) to point (930, 276) with cost = 0
Matched (930, 275) to point (930, 276) with cost = 0
Matched (930, 275) to point (930, 275) with cost = 0
Matched (929, 275) to point (930, 275) with cost = 1
Matched (929, 274) to point (929, 275) with cost = 0
Matched (928, 274) to point (929, 275) with cost = 0
Matched (928, 274) to point (929, 274) with cost = 0
Matched (928, 273) to point (928, 274) with cost = 0
Matched (928, 272) to point (928, 274) with cost = 1
Matched (927, 272) to point (928, 273) with cost = 0
Matched (927, 272) to point (928, 273) with cost = 0
Matched (927, 271) to point (928, 272) with cost = 0
Matched (927, 270) to point (927, 272) with cost = 0
Matched (926, 270) to point (927, 272) with cost = 1
Matched (926, 270) to point (927, 271) with cost = 0
Matched (926, 269) to point (927, 271) with cost = 0
Matched (926, 268) to point (927, 270) with cost = 0
Matched (925, 268) to point (926, 270) with cost = 0
Matched (925, 267) to point (926, 270) with cost = 1
Matched (925, 266) to point (926, 269) with cost = 0
Matched (924, 266) to point (926, 269) with cost = 0
Matched (924, 265) to point (926, 268) with cost = 1.41421
Matched (924, 265) to point (926, 267) with cost = 0
Matched (924, 264) to point (925, 267) with cost = 1
Matched (924, 263) to point (925, 267) with cost = 0
Matched (924, 262) to point (925, 266) with cost = 1.41421
Matched (923, 262) to point (925, 265) with cost = 0
Matched (923, 261) to point (924, 265) with cost = 1
Matched (923, 260) to point (924, 264) with cost = 0
Matched (923, 259) to point (924, 264) with cost = 1
Matched (923, 258) to point (924, 264) with cost = 0
Matched (923, 257) to point (924, 263) with cost = 0
Matched (923, 256) to point (924, 262) with cost = 0
Matched (923, 255) to point (923, 262) with cost = 0
Matched (923, 254) to point (923, 261) with cost = 1
Matched (922, 254) to point (923, 261) with cost = 0
Matched (922, 254) to point (923, 260) with cost = 0
Matched (922, 253) to point (923, 259) with cost = 0
Matched (922, 252) to point (923, 258) with cost = 0
Matched (921, 252) to point (923, 257) with cost = 1.41421
Matched (921, 251) to point (922, 257) with cost = 1
Matched (920, 251) to point (922, 256) with cost = 1
Matched (920, 250) to point (922, 255) with cost = 1
Matched (919, 250) to point (922, 254) with cost = 0
Matched (919, 249) to point (922, 254) with cost = 0
Matched (919, 248) to point (922, 254) with cost = 1
Matched (918, 248) to point (922, 253) with cost = 0
Matched (918, 247) to point (922, 253) with cost = 1.41421
Matched (918, 246) to point (921, 253) with cost = 0
Matched (918, 245) to point (921, 252) with cost = 0
Matched (918, 244) to point (921, 251) with cost = 0
Matched (918, 243) to point (920, 251) with cost = 1
Matched (918, 243) to point (920, 251) with cost = 0
Matched (918, 242) to point (920, 250) with cost = 0
Matched (918, 241) to point (919, 250) with cost = 0
Matched (918, 240) to point (919, 249) with cost = 0
Matched (918, 239) to point (919, 248) with cost = 1.41421
Matched (917, 239) to point (919, 247) with cost = 1.41421
Matched (917, 239) to point (919, 246) with cost = 0
Matched (917, 238) to point (918, 246) with cost = 0
Matched (917, 237) to point (918, 245) with cost = 0
Matched (917, 236) to point (918, 244) with cost = 0
Matched (917, 235) to point (918, 243) with cost = 1
Matched (917, 235) to point (918, 242) with cost = 0
Matched (916, 235) to point (918, 242) with cost = 0
Matched (916, 234) to point (918, 241) with cost = 0
Matched (916, 233) to point (918, 240) with cost = 0
Matched (916, 232) to point (918, 239) with cost = 0
Matched (916, 231) to point (917, 239) with cost = 1
Matched (916, 230) to point (917, 238) with cost = 0
Matched (916, 229) to point (917, 238) with cost = 0
Matched (916, 228) to point (917, 237) with cost = 1
Matched (915, 228) to point (917, 237) with cost = 0
Matched (915, 227) to point (917, 236) with cost = 0
Matched (915, 227) to point (917, 235) with cost = 1
Matched (915, 226) to point (917, 234) with cost = 1.41421
Matched (915, 225) to point (917, 234) with cost = 1.41421
Matched (914, 225) to point (917, 233) with cost = 0
Matched (914, 224) to point (916, 233) with cost = 0
Matched (914, 224) to point (916, 232) with cost = 1
Matched (914, 223) to point (916, 232) with cost = 0
Matched (913, 223) to point (916, 231) with cost = 0
Matched (913, 222) to point (916, 230) with cost = 0
Matched (913, 221) to point (916, 229) with cost = 0
Matched (912, 221) to point (916, 228) with cost = 1.41421
Matched (912, 220) to point (916, 227) with cost = 1
Matched (912, 219) to point (916, 227) with cost = 1
Matched (912, 218) to point (916, 227) with cost = 1
Matched (912, 217) to point (916, 226) with cost = 1
Matched (911, 217) to point (916, 225) with cost = 1
Matched (911, 216) to point (915, 225) with cost = 1
Matched (911, 216) to point (915, 225) with cost = 1.41421
Matched (911, 215) to point (915, 224) with cost = 1
Matched (911, 214) to point (915, 224) with cost = 1.41421
Matched (911, 214) to point (915, 223) with cost = 1.41421
Matched (910, 214) to point (915, 222) with cost = 1.41421
Matched (910, 213) to point (914, 222) with cost = 1
Matched (910, 213) to point (914, 222) with cost = 1
Matched (910, 212) to point (914, 221) with cost = 2.23607
Matched (910, 211) to point (914, 220) with cost = 2.23607
Matched (909, 211) to point (914, 219) with cost = 2
Matched (909, 211) to point (914, 219) with cost = 2
Matched (909, 210) to point (914, 218) with cost = 2
Matched (909, 209) to point (914, 217) with cost = 3.16228
Matched (910, 209) to point (914, 216) with cost = 2
Matched (910, 209) to point (913, 216) with cost = 2.23607
Matched (910, 208) to point (913, 215) with cost = 2.23607
Matched (909, 208) to point (913, 214) with cost = 2.23607
Matched (908, 208) to point (913, 213) with cost = 1.41421
Matched (908, 208) to point (912, 213) with cost = 2.82843
Matched (908, 207) to point (912, 212) with cost = 2.23607
Matched (908, 206) to point (912, 212) with cost = 2.82843
Matched (908, 205) to point (912, 211) with cost = 1.41421
Matched (908, 205) to point (911, 211) with cost = 1
Matched (908, 204) to point (911, 211) with cost = 2.23607
Matched (907, 204) to point (911, 210) with cost = 2.23607
Matched (907, 203) to point (911, 210) with cost = 1
Matched (906, 203) to point (910, 210) with cost = 1
Matched (906, 202) to point (910, 209) with cost = 1
Matched (905, 202) to point (909, 209) with cost = 1
Matched (905, 201) to point (909, 209) with cost = 1.41421
Matched (905, 200) to point (909, 209) with cost = 0
Matched (906, 200) to point (909, 208) with cost = 1
Matched (906, 200) to point (909, 208) with cost = 1.41421
Matched (906, 199) to point (909, 207) with cost = 1
Matched (906, 199) to point (908, 207) with cost = 0
Matched (906, 198) to point (908, 207) with cost = 1
Matched (906, 197) to point (908, 207) with cost = 0
Matched (906, 196) to point (908, 206) with cost = 0
Matched (906, 195) to point (908, 205) with cost = 1
Matched (906, 194) to point (907, 205) with cost = 1.41421
Matched (906, 193) to point (907, 205) with cost = 1
Matched (905, 193) to point (907, 205) with cost = 1
Matched (904, 193) to point (907, 204) with cost = 0
Matched (903, 193) to point (907, 203) with cost = 1
Matched (903, 193) to point (907, 203) with cost = 1.41421
Matched (902, 193) to point (907, 202) with cost = 2
Matched (901, 193) to point (908, 202) with cost = 3
Matched (900, 193) to point (908, 202) with cost = 3
Matched (900, 192) to point (908, 201) with cost = 2.23607
Matched (899, 192) to point (907, 201) with cost = 1
Matched (899, 192) to point (907, 200) with cost = 1
Matched (898, 192) to point (907, 200) with cost = 1
Matched (897, 192) to point (907, 199) with cost = 1
Matched (896, 192) to point (907, 199) with cost = 1
Matched (895, 192) to point (907, 198) with cost = 1
Matched (894, 192) to point (907, 197) with cost = 1
Matched (893, 192) to point (907, 196) with cost = 1
Matched (892, 192) to point (907, 195) with cost = 1
Matched (891, 192) to point (907, 194) with cost = 1
Matched (890, 192) to point (906, 194) with cost = 1.41421
Matched (889, 192) to point (905, 194) with cost = 1
Matched (888, 192) to point (905, 194) with cost = 1
Matched (887, 192) to point (904, 194) with cost = 1
Matched (886, 192) to point (903, 194) with cost = 0
Matched (886, 192) to point (903, 193) with cost = 1
Matched (885, 192) to point (902, 193) with cost = 0
Matched (884, 192) to point (902, 193) with cost = 1
Matched (883, 192) to point (902, 193) with cost = 0
Matched (882, 192) to point (901, 193) with cost = 0
Matched (882, 193) to point (900, 193) with cost = 2
Matched (882, 193) to point (900, 194) with cost = 2.23607
Matched (881, 193) to point (899, 194) with cost = 2.23607
Matched (880, 193) to point (899, 194) with cost = 2.23607
Matched (879, 193) to point (898, 194) with cost = 1.41421
Matched (879, 194) to point (898, 193) with cost = 1
Matched (879, 194) to point (898, 193) with cost = 1
Matched (878, 194) to point (897, 193) with cost = 1
Matched (877, 194) to point (896, 193) with cost = 1
Matched (877, 194) to point (896, 192) with cost = 0
Matched (877, 195) to point (895, 192) with cost = 0
Matched (876, 195) to point (894, 192) with cost = 0
Matched (875, 195) to point (893, 192) with cost = 0
Matched (875, 196) to point (892, 192) with cost = 0
Matched (875, 196) to point (891, 192) with cost = 0
Matched (874, 196) to point (890, 192) with cost = 0
Matched (873, 196) to point (889, 192) with cost = 0
Matched (873, 196) to point (888, 192) with cost = 0
Matched (872, 196) to point (887, 192) with cost = 0
Matched (872, 196) to point (886, 192) with cost = 0
Matched (872, 197) to point (886, 192) with cost = 1
Matched (871, 197) to point (885, 192) with cost = 0
Matched (870, 197) to point (885, 192) with cost = 0
Matched (870, 197) to point (884, 192) with cost = 0
Matched (870, 198) to point (883, 192) with cost = 0
Matched (869, 198) to point (882, 192) with cost = 1.41421
Matched (869, 199) to point (881, 192) with cost = 1
Matched (868, 199) to point (881, 193) with cost = 0
Matched (868, 200) to point (881, 193) with cost = 1
Matched (867, 200) to point (881, 193) with cost = 0
Matched (867, 200) to point (880, 193) with cost = 0
Matched (866, 200) to point (879, 193) with cost = 0
Matched (866, 200) to point (879, 194) with cost = 1
Matched (866, 201) to point (878, 194) with cost = 0
Matched (865, 201) to point (878, 194) with cost = 1
Matched (864, 201) to point (878, 194) with cost = 0
Matched (864, 202) to point (877, 194) with cost = 1
Matched (864, 202) to point (877, 195) with cost = 0
Matched (863, 202) to point (877, 195) with cost = 0
Matched (863, 203) to point (876, 195) with cost = 1
Matched (862, 203) to point (876, 195) with cost = 0
Matched (862, 204) to point (875, 195) with cost = 1.41421
Matched (861, 204) to point (874, 195) with cost = 1
Matched (861, 205) to point (874, 196) with cost = 0
Matched (860, 205) to point (874, 196) with cost = 1
Matched (860, 206) to point (874, 196) with cost = 0
Matched (860, 207) to point (873, 196) with cost = 1
Matched (859, 207) to point (872, 196) with cost = 0
Matched (859, 207) to point (872, 196) with cost = 1
Matched (859, 208) to point (871, 196) with cost = 1.41421
Matched (858, 208) to point (871, 196) with cost = 1
Matched (858, 209) to point (871, 196) with cost = 1
Matched (858, 209) to point (871, 197) with cost = 0
Matched (857, 209) to point (870, 197) with cost = 1
Matched (856, 209) to point (870, 198) with cost = 0
Matched (856, 210) to point (870, 198) with cost = 1
Matched (856, 210) to point (870, 198) with cost = 0
Matched (855, 210) to point (869, 198) with cost = 0
Matched (855, 211) to point (869, 199) with cost = 1
Matched (854, 211) to point (869, 199) with cost = 0
Matched (854, 211) to point (868, 199) with cost = 0
Matched (853, 211) to point (868, 200) with cost = 1
Matched (853, 212) to point (868, 200) with cost = 0
Matched (852, 212) to point (867, 200) with cost = 1
Matched (852, 212) to point (866, 200) with cost = 0
Matched (852, 213) to point (866, 200) with cost = 1
Matched (852, 214) to point (866, 201) with cost = 0
Matched (852, 214) to point (866, 201) with cost = 0
Matched (852, 215) to point (865, 201) with cost = 1.41421
Matched (852, 216) to point (865, 202) with cost = 0
Matched (851, 216) to point (864, 202) with cost = 0
Matched (851, 217) to point (864, 202) with cost = 1
Matched (851, 217) to point (864, 203) with cost = 1.41421
Matched (850, 217) to point (864, 203) with cost = 0
Matched (850, 218) to point (863, 203) with cost = 1
Matched (849, 218) to point (863, 203) with cost = 0
Matched (849, 219) to point (862, 203) with cost = 0
Matched (848, 219) to point (862, 204) with cost = 0
Matched (848, 220) to point (861, 204) with cost = 1.41421
Matched (847, 220) to point (860, 204) with cost = 0
Matched (847, 220) to point (860, 205) with cost = 1.41421
Matched (847, 221) to point (859, 205) with cost = 1.41421
Matched (847, 221) to point (859, 206) with cost = 0
Matched (847, 222) to point (859, 207) with cost = 1
Matched (848, 222) to point (858, 207) with cost = 1.41421
Matched (847, 222) to point (858, 207) with cost = 0
Matched (847, 223) to point (858, 208) with cost = 1.41421
Matched (847, 223) to point (857, 208) with cost = 1
Matched (846, 223) to point (857, 209) with cost = 1
Matched (846, 224) to point (856, 209) with cost = 0
Matched (846, 224) to point (856, 209) with cost = 0
Matched (845, 224) to point (856, 210) with cost = 1
Matched (845, 225) to point (855, 210) with cost = 0
Matched (845, 226) to point (855, 210) with cost = 1.41421
Matched (844, 226) to point (854, 210) with cost = 0
Matched (844, 226) to point (854, 211) with cost = 1
Matched (843, 226) to point (853, 211) with cost = 0
Matched (843, 226) to point (853, 211) with cost = 0
Matched (843, 227) to point (853, 212) with cost = 0
Matched (843, 228) to point (852, 212) with cost = 1
Matched (842, 228) to point (852, 213) with cost = 0
Matched (842, 228) to point (852, 213) with cost = 1.41421
Matched (842, 229) to point (851, 213) with cost = 1.41421
Matched (843, 229) to point (851, 213) with cost = 2.82843
Matched (843, 229) to point (850, 213) with cost = 2.82843
Matched (843, 230) to point (850, 214) with cost = 2.82843
Matched (843, 231) to point (849, 214) with cost = 2.82843
Matched (843, 232) to point (849, 215) with cost = 3.60555
Matched (843, 233) to point (848, 215) with cost = 2.82843
Matched (843, 234) to point (848, 215) with cost = 2.82843
Matched (844, 234) to point (848, 216) with cost = 2.82843
Matched (844, 235) to point (847, 216) with cost = 4.24264
Matched (843, 235) to point (846, 216) with cost = 2.82843
Matched (842, 235) to point (846, 217) with cost = 4.24264
Matched (842, 236) to point (845, 217) with cost = 2.82843
Matched (841, 236) to point (845, 218) with cost = 3.60555
Matched (841, 236) to point (844, 218) with cost = 3.60555
Matched (840, 236) to point (844, 219) with cost = 3.60555
Matched (840, 237) to point (844, 219) with cost = 5
Matched (839, 237) to point (843, 219) with cost = 5.38516
Matched (838, 237) to point (843, 220) with cost = 5.38516
Matched (837, 237) to point (842, 220) with cost = 5.83095
Matched (836, 237) to point (842, 220) with cost = 5.38516
Matched (836, 238) to point (842, 221) with cost = 4.47214
Matched (835, 238) to point (842, 221) with cost = 4.47214
Matched (835, 238) to point (842, 222) with cost = 5.38516
Matched (834, 238) to point (841, 222) with cost = 4.12311
Matched (833, 238) to point (841, 223) with cost = 4.47214
Matched (833, 239) to point (841, 223) with cost = 5.83095
Matched (833, 239) to point (840, 223) with cost = 4.47214
Matched (832, 239) to point (840, 224) with cost = 5.38516
Matched (831, 239) to point (839, 224) with cost = 4.47214
Matched (831, 240) to point (839, 224) with cost = 4.12311
Matched (830, 240) to point (839, 225) with cost = 4.47214
Matched (830, 240) to point (839, 225) with cost = 4.47214
Matched (829, 240) to point (839, 226) with cost = 3.16228
Matched (829, 241) to point (839, 227) with cost = 4.12311
Matched (829, 241) to point (838, 227) with cost = 4.12311
Matched (828, 241) to point (838, 228) with cost = 5.09902
Matched (827, 241) to point (837, 228) with cost = 5
Matched (827, 242) to point (837, 229) with cost = 7
Matched (827, 242) to point (836, 229) with cost = 7
Matched (826, 242) to point (836, 229) with cost = 7.07107
Matched (826, 243) to point (836, 230) with cost = 8.06226
Matched (825, 243) to point (835, 230) with cost = 8
Matched (825, 243) to point (835, 230) with cost = 8
Matched (824, 243) to point (835, 231) with cost = 8
Matched (824, 244) to point (835, 232) with cost = 8
Matched (824, 244) to point (835, 233) with cost = 8.06226
Matched (823, 244) to point (835, 233) with cost = 9
Matched (823, 245) to point (835, 234) with cost = 9
Matched (822, 245) to point (835, 235) with cost = 8.06226
Matched (822, 245) to point (835, 236) with cost = 7.28011
Matched (821, 245) to point (835, 237) with cost = 6.08276
Matched (821, 246) to point (836, 237) with cost = 4.12311
Matched (820, 246) to point (837, 237) with cost = 3.16228
Matched (820, 246) to point (838, 237) with cost = 2.23607
Matched (819, 246) to point (839, 237) with cost = 1.41421
Matched (818, 246) to point (840, 237) with cost = 1
Matched (818, 245) to point (841, 237) with cost = 0
Matched (818, 245) to point (841, 236) with cost = 1
Matched (817, 245) to point (842, 236) with cost = 2
Matched (817, 246) to point (843, 236) with cost = 3
Matched (816, 246) to point (844, 236) with cost = 3.16228
Matched (816, 246) to point (844, 235) with cost = 3
Matched (815, 246) to point (844, 236) with cost = 2
Matched (814, 246) to point (843, 236) with cost = 1
Matched (814, 247) to point (842, 236) with cost = 0
Matched (813, 247) to point (841, 236) with cost = 1
Matched (812, 247) to point (841, 237) with cost = 1.41421
Matched (812, 248) to point (841, 237) with cost = 0
Matched (811, 248) to point (840, 237) with cost = 0
Matched (811, 249) to point (839, 237) with cost = 1.41421
Matched (810, 249) to point (839, 238) with cost = 1
Matched (810, 250) to point (838, 238) with cost = 1
Matched (809, 250) to point (837, 238) with cost = 1
Matched (809, 250) to point (836, 238) with cost = 1
Matched (808, 250) to point (835, 238) with cost = 0
Matched (808, 249) to point (835, 238) with cost = 1
Matched (807, 249) to point (834, 238) with cost = 0
Matched (806, 249) to point (834, 238) with cost = 0
Matched (805, 249) to point (833, 238) with cost = 0
Matched (804, 249) to point (833, 239) with cost = 0
Matched (804, 249) to point (833, 239) with cost = 1
Matched (803, 249) to point (832, 239) with cost = 0
Matched (802, 249) to point (832, 239) with cost = 0
Matched (802, 249) to point (831, 239) with cost = 0
Matched (802, 250) to point (831, 240) with cost = 1
Matched (801, 250) to point (831, 240) with cost = 0
Matched (800, 250) to point (830, 240) with cost = 1
Matched (799, 250) to point (829, 240) with cost = 0
Matched (798, 250) to point (829, 240) with cost = 1
Matched (798, 250) to point (829, 240) with cost = 0
Matched (797, 250) to point (829, 241) with cost = 1
Matched (796, 250) to point (828, 241) with cost = 0
Matched (795, 250) to point (828, 241) with cost = 1.41421
Matched (795, 250) to point (828, 242) with cost = 1
Matched (794, 250) to point (828, 242) with cost = 0
Matched (794, 251) to point (827, 242) with cost = 1
Matched (794, 252) to point (826, 242) with cost = 0
Matched (794, 252) to point (826, 242) with cost = 0
Matched (793, 252) to point (826, 243) with cost = 0
Matched (792, 252) to point (825, 243) with cost = 0
Matched (791, 252) to point (825, 243) with cost = 1
Matched (791, 253) to point (825, 244) with cost = 1.41421
Matched (791, 253) to point (825, 244) with cost = 0
Matched (790, 253) to point (824, 244) with cost = 0
Matched (789, 253) to point (824, 244) with cost = 1
Matched (788, 253) to point (823, 244) with cost = 0
Matched (787, 253) to point (823, 244) with cost = 0
Matched (787, 252) to point (823, 245) with cost = 1
Matched (787, 252) to point (823, 245) with cost = 0
Matched (786, 252) to point (822, 245) with cost = 1
Matched (785, 252) to point (821, 245) with cost = 0
Matched (784, 252) to point (821, 245) with cost = 1.41421
Matched (783, 252) to point (820, 245) with cost = 1
Matched (782, 252) to point (820, 245) with cost = 1.41421
Matched (782, 252) to point (819, 245) with cost = 1
Matched (781, 252) to point (819, 245) with cost = 1
Matched (780, 252) to point (818, 245) with cost = 1
Matched (780, 251) to point (818, 246) with cost = 1
Matched (779, 251) to point (818, 246) with cost = 1.41421
Matched (778, 251) to point (818, 246) with cost = 1
Matched (777, 251) to point (818, 246) with cost = 1
Matched (776, 251) to point (817, 246) with cost = 0
Matched (776, 251) to point (816, 246) with cost = 1
Matched (775, 251) to point (815, 246) with cost = 0
Matched (774, 251) to point (815, 246) with cost = 1.41421
Matched (773, 251) to point (815, 247) with cost = 1
Matched (772, 251) to point (815, 247) with cost = 1
Matched (771, 251) to point (814, 247) with cost = 1.41421
Matched (770, 251) to point (814, 248) with cost = 1.41421
Matched (769, 251) to point (813, 248) with cost = 0
Matched (769, 252) to point (812, 248) with cost = 1.41421
Matched (768, 252) to point (812, 249) with cost = 0
Matched (767, 252) to point (811, 249) with cost = 0
Matched (766, 252) to point (810, 249) with cost = 1.41421
Matched (765, 252) to point (809, 249) with cost = 1
Matched (764, 252) to point (809, 249) with cost = 0
